iso3,country,disaggregation,disagg.value,region,subregion,section,stunting_2000,stunting_2001,stunting_2002,stunting_2003,stunting_2004,stunting_2005,stunting_2006,stunting_2007,stunting_2008,stunting_2009,stunting_2010,stunting_2011,stunting_2012,stunting_2013,stunting_2014,stunting_2015,stunting_2016,stunting_2017,stunting_2018,stunting_2019,stunting_2020,wasting_2000,wasting_2001,wasting_2002,wasting_2003,wasting_2004,wasting_2005,wasting_2006,wasting_2007,wasting_2008,wasting_2009,wasting_2010,wasting_2011,wasting_2012,wasting_2013,wasting_2014,wasting_2015,wasting_2016,wasting_2017,wasting_2018,wasting_2019,wasting_2020,overweight_2000,overweight_2001,overweight_2002,overweight_2003,overweight_2004,overweight_2005,overweight_2006,overweight_2007,overweight_2008,overweight_2009,overweight_2010,overweight_2011,overweight_2012,overweight_2013,overweight_2014,overweight_2015,overweight_2016,overweight_2017,overweight_2018,overweight_2019,overweight_2020,coexistence_2000,coexistence_2001,coexistence_2003,coexistence_2005,coexistence_2007,coexistence_2008,coexistence_2009,coexistence_2010,coexistence_2011,coexistence_2012,coexistence_2013,coexistence_2014,coexistence_2015,coexistence_2016,coexistence_2017,coexistence_2018,coexistence_2019,coexistence_2020,lbw_2000,lbw_2001,lbw_2002,lbw_2003,lbw_2004,lbw_2005,lbw_2006,lbw_2007,lbw_2008,lbw_2009,lbw_2010,lbw_2011,lbw_2012,lbw_2013,lbw_2014,lbw_2015
JPN,Japan,education,Secondary or higher,Asia,Eastern Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,wealth,Highest,Latin America and the Caribbean,Central America,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,13.65,,,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,sex,Boys Projection,Asia,Central Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,sex,Female,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,all,Overweight alone,Europe,Southern Europe,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
GMB,Gambia,sex,Boys Projection,Africa,Western Africa,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,sex,Both,Asia,Eastern Asia,Child (under-5) nutrition status,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,all,Overweight alone,Asia,Central Asia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,all,Wasting and stunting,Oceania,Melanesia,Child (under-5) nutrition status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,
NER,Niger,wealth,Highest,Africa,Western Africa,Child (under-5) nutrition status,39.96,,,,,,41.09,,,,,,34.68,,,,,,,,,14.01,,,,,,9.27,,,,,,12.98,,,,,,,,,1.27,,,,,,3.38,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
